#WAVENUMBER	 TRANSMITTANCE
#cm^(-1)	 %
#DECIMALSYMBOL	 .
434.4339	 150.0000
434.9161	 150.0000
435.3982	 150.0000
435.8804	 -1.0000
436.3626	 150.0000
436.8447	 74.7981
437.3269	 119.0658
437.8091	 148.1125
438.2912	 150.0000
438.7734	 150.0000
439.2556	 150.0000
439.7377	 -1.0000
440.2199	 -1.0000
440.7021	 -1.0000
441.1842	 -1.0000
441.6664	 -1.0000
442.1486	 -1.0000
442.6308	 150.0000
443.1129	 150.0000
443.5951	 150.0000
444.0773	 150.0000
444.5594	 -1.0000
445.0416	 20.5360
445.5238	 96.4750
446.0059	 -1.0000
446.4881	 -1.0000
446.9703	 -1.0000
447.4524	 130.8664
447.9346	 129.4471
448.4168	 -1.0000
448.8989	 -1.0000
449.3811	 -1.0000
449.8633	 150.0000
450.3455	 150.0000
450.8276	 -1.0000
451.3098	 -1.0000
451.7920	 150.0000
452.2741	 150.0000
452.7563	 138.1764
453.2385	 150.0000
453.7206	 130.2522
454.2028	 75.1251
454.6850	 87.8590
455.1671	 80.4835
455.6493	 81.2635
456.1315	 79.0734
456.6136	 61.1276
457.0958	 52.3905
457.5780	 64.2381
458.0602	 63.0513
458.5423	 41.4191
459.0245	 16.2345
459.5067	 4.6662
459.9888	 0.3700
460.4710	 -1.0000
460.9532	 -0.9522
461.4353	 7.2219
461.9175	 1.6017
462.3997	 10.1260
462.8818	 21.5714
463.3640	 17.7315
463.8462	 8.5283
464.3283	 6.2049
464.8105	 3.7808
465.2927	 -1.0000
465.7748	 -1.0000
466.2570	 2.2379
466.7392	 2.7117
467.2214	 2.7914
467.7035	 5.8294
468.1857	 5.0422
468.6679	 0.8732
469.1500	 -0.4695
469.6322	 3.7822
470.1144	 6.9458
470.5965	 3.6210
471.0787	 1.3076
471.5609	 1.5102
472.0430	 -1.0000
472.5252	 -1.0000
473.0074	 -1.0000
473.4895	 -1.0000
473.9717	 -1.0000
474.4539	 -1.0000
474.9361	 0.7563
475.4182	 4.5836
475.9004	 4.5194
476.3826	 2.4679
476.8647	 3.1597
477.3469	 3.2934
477.8291	 1.7114
478.3112	 1.2110
478.7934	 2.0738
479.2756	 2.0000
479.7577	 1.7811
480.2399	 2.9613
480.7221	 3.3653
481.2042	 2.4584
481.6864	 0.9349
482.1686	 -0.1421
482.6507	 1.2538
483.1329	 2.3218
483.6151	 1.0224
484.0973	 -0.2653
484.5794	 0.0931
485.0616	 1.2345
485.5438	 1.7835
486.0259	 1.7399
486.5081	 1.4488
486.9903	 1.0724
487.4724	 1.0995
487.9546	 1.4073
488.4368	 1.0559
488.9189	 0.4636
489.4011	 0.8872
489.8833	 1.2775
490.3654	 1.2450
490.8476	 1.1099
491.3298	 1.3982
491.8120	 1.7541
492.2941	 1.2663
492.7763	 1.1831
493.2585	 1.6472
493.7406	 1.5423
494.2228	 1.2787
494.7050	 1.3694
495.1871	 0.9745
495.6693	 0.6820
496.1515	 0.6659
496.6336	 0.8700
497.1158	 1.4883
497.5980	 1.3270
498.0801	 0.7125
498.5623	 0.5521
499.0445	 0.3896
499.5266	 0.3133
500.0088	 0.5824
500.4910	 0.7193
500.9732	 0.3908
501.4553	 0.4512
501.9375	 1.2056
502.4197	 1.1037
502.9018	 0.3034
503.3840	 0.1496
503.8662	 0.4420
504.3483	 0.6386
504.8305	 0.5689
505.3127	 0.2559
505.7948	 -0.0750
506.2770	 -0.0055
506.7592	 0.3424
507.2413	 0.5965
507.7235	 0.6196
508.2057	 0.6386
508.6879	 0.7357
509.1700	 0.7570
509.6522	 0.7242
510.1344	 0.4731
510.6165	 0.0969
511.0987	 0.0865
511.5809	 0.3979
512.0630	 0.5167
512.5452	 0.4094
513.0274	 0.2832
513.5095	 0.2441
513.9917	 0.2581
514.4739	 0.2025
514.9560	 0.3197
515.4382	 0.4945
515.9204	 0.4762
516.4025	 0.3771
516.8847	 0.1931
517.3669	 0.1999
517.8491	 0.4203
518.3312	 0.4092
518.8134	 0.4282
519.2956	 0.5309
519.7777	 0.4612
520.2599	 0.3978
520.7421	 0.3846
521.2242	 0.3907
521.7064	 0.3035
522.1886	 0.1889
522.6707	 0.0852
523.1529	 -0.0009
523.6351	 0.0746
524.1172	 0.2121
524.5994	 0.2649
525.0816	 0.1729
525.5638	 -0.0019
